year,LAW_CAT_CD,VIC_AGE_GROUP,VIC_SEX,Latitude,Longitude
2017,MISDEMEANOR,25-44,F,40.89196337,-73.86046266
2017,VIOLATION,45-64,F,40.79409373,-73.93681016
2017,FELONY,25-44,F,40.76110162,-73.98326299
2017,FELONY,25-44,F,40.69609802,-73.91559013
2017,FELONY,25-44,M,40.60977657,-73.75061339
2017,MISDEMEANOR,25-44,F,40.66778911,-73.90587161
2017,MISDEMEANOR,25-44,F,40.68609469,-73.83560303
2017,MISDEMEANOR,45-64,F,40.76390777,-73.86914927
2017,MISDEMEANOR,25-44,M,40.81608887,-73.91768869
2017,VIOLATION,25-44,M,40.66908884,-73.78899536
2017,MISDEMEANOR,25-44,M,40.68357576,-73.94105767
2017,MISDEMEANOR,25-44,F,40.80084632,-73.94903009
2017,MISDEMEANOR,45-64,M,40.74835113,-73.87717031
2017,FELONY,25-44,M,40.82769754,-73.87610243
2017,MISDEMEANOR,18-24,F,40.7221992,-73.97712171
2017,MISDEMEANOR,45-64,F,40.69770255,-73.96723795
2017,MISDEMEANOR,25-44,F,40.71312234,-73.73537598
2017,MISDEMEANOR,25-44,F,40.77116327,-73.97965376
2017,MISDEMEANOR,25-44,M,40.73736896,-73.99684042
2017,MISDEMEANOR,25-44,M,40.74034687,-73.92021448
2017,FELONY,25-44,F,40.64475208,-74.08724138
2017,FELONY,65+,F,40.57973199,-73.9597755
2017,MISDEMEANOR,18-24,F,40.7221992,-73.97712171
2017,MISDEMEANOR,18-24,F,40.7221992,-73.97712171
2017,MISDEMEANOR,18-24,F,40.7221992,-73.97712171
2017,MISDEMEANOR,25-44,M,40.67356765,-73.80738489
2017,VIOLATION,25-44,F,40.83294176,-73.93543259
2017,MISDEMEANOR,18-24,F,40.82064208,-73.8224409
2017,FELONY,45-64,M,40.6841943,-73.91608475
2017,MISDEMEANOR,25-44,F,40.74596005,-73.99800931
2017,FELONY,45-64,F,40.71898938,-73.98705781
2017,FELONY,25-44,M,40.7500497,-73.8668991
2017,VIOLATION,18-24,M,40.74774709,-73.83332878
2017,MISDEMEANOR,45-64,M,40.72193152,-73.98506582
2017,FELONY,<18,M,40.88745131,-73.84760779
2017,MISDEMEANOR,45-64,M,40.69979726,-73.9816699
2017,FELONY,25-44,F,40.66230786,-73.88212983
2017,FELONY,18-24,F,40.6172283,-73.9672018
2017,VIOLATION,45-64,F,40.66790943,-73.93260043
2017,FELONY,25-44,F,40.68868025,-73.97772096
2017,MISDEMEANOR,25-44,M,40.70918453,-73.94685304
2017,MISDEMEANOR,25-44,F,40.85907009,-73.89607877
2017,MISDEMEANOR,25-44,M,40.85056425,-73.89608122
2017,FELONY,18-24,F,40.73797208,-73.88401314
2017,FELONY,45-64,F,40.66269281,-73.88830716
2017,MISDEMEANOR,25-44,M,40.75970833,-73.99356177
2017,FELONY,18-24,F,40.68879788,-73.91690109
2017,VIOLATION,25-44,F,40.75137082,-73.86767606
2017,MISDEMEANOR,<18,F,40.8231013,-73.86969046
2017,FELONY,45-64,M,40.5962742,-73.75413146
2017,FELONY,45-64,F,40.75664204,-73.98837158
2017,MISDEMEANOR,<18,F,40.87664914,-73.84217956
2017,MISDEMEANOR,<18,F,40.87664914,-73.84217956
2017,MISDEMEANOR,45-64,M,40.83757727,-73.94546754
2017,FELONY,45-64,F,40.66817356,-73.80059472
2017,FELONY,18-24,M,40.66502269,-73.95711437
2017,FELONY,25-44,M,40.79968302,-73.94411163
2017,MISDEMEANOR,25-44,F,40.6728979,-73.97823814
2017,FELONY,25-44,M,40.82488497,-73.89945994
2017,MISDEMEANOR,25-44,F,40.78749627,-73.94975171
2017,MISDEMEANOR,25-44,M,40.81981776,-73.95543576
2017,MISDEMEANOR,25-44,M,40.82506399,-73.87739726
2017,FELONY,18-24,F,40.57384965,-74.10549616
2017,VIOLATION,45-64,M,40.85078369,-73.93782623
