location,price_per_month,bed num,bath num,sqft,url of rental info,latitude,longitude
"Main St,Staten Island,NY,10307",400.0,1,1.0,1775.0,https://www.zillow.com/homedetails/Main-St-Staten-Island-NY-10307/2088886871_zpid/,40.5060457,-74.245868
"574 Crescent St,Brooklyn,NY,11208",600.0,1,1.0,2080.0,https://www.zillow.com/homedetails/574-Crescent-St-Brooklyn-NY-11208/30645774_zpid/,40.6737663,-73.8698283
"24615 137th Ave,Jamaica,NY,11422",750.0,1,1.0,2300.0,https://www.zillow.com/homedetails/24615-137th-Ave-Jamaica-NY-11422/32206445_zpid/,40.667992,-73.730526
"Saint Albans Pl,Staten Island,NY,10312",800.0,1,1.0,3180.0,https://www.zillow.com/homedetails/Saint-Albans-Pl-Staten-Island-NY-10312/2085155063_zpid/,40.5441533,-74.16112489999999
"207 St,Cambria Heights,NY,11411",825.0,1,1.0,3180.0,https://www.zillow.com/homedetails/207-St-Cambria-Heights-NY-11411/2085141510_zpid/,40.699801,-73.746775
"Vineland Ave,Staten Island,NY,10312",850.0,1,1.0,800.0,https://www.zillow.com/homedetails/Vineland-Ave-Staten-Island-NY-10312/2085296615_zpid/,40.5469328,-74.1879275
"20th Ave,Brooklyn,NY,11214",850.0,1,1.0,800.0,https://www.zillow.com/homedetails/20th-Ave-Brooklyn-NY-11214/2103269678_zpid/,40.607445,-73.99530299999999
"850 Greene Ave # 2,Brooklyn,NY,11221",865.0,3,1.0,1304.0,https://www.zillow.com/homedetails/850-Greene-Ave-2-Brooklyn-NY-11221/2085195983_zpid/,40.6901874,-73.93411329999999
"13536 234th Pl,Jamaica,NY,11422",875.0,1,1.0,1304.0,https://www.zillow.com/homedetails/13536-234th-Pl-Jamaica-NY-11422/32205767_zpid/,40.671698,-73.737127
"4355 166th St,Flushing,NY,11358",875.0,1,1.0,2184.0,https://www.zillow.com/homedetails/4355-166th-St-Flushing-NY-11358/32047267_zpid/,40.756874,-73.80038499999999
"193 Beach 113th St # 3,Rockaway Park,NY,11694",900.0,1,1.0,350.0,https://www.zillow.com/homedetails/193-Beach-113th-St-3-Rockaway-Park-NY-11694/2085014733_zpid/,40.5803024,-73.8345911
"Seguine Ave,Staten Island,NY,10309",900.0,1,1.0,430.0,https://www.zillow.com/homedetails/Seguine-Ave-Staten-Island-NY-10309/2085792756_zpid/,40.5191984,-74.1971456
"78th St,Brooklyn,NY,11228",900.0,1,1.0,1600.0,https://www.zillow.com/homedetails/78th-St-Brooklyn-NY-11228/2085482878_zpid/,40.6230245,-74.016564
"El Camino Loop,Staten Island,NY,10309",900.0,1,1.0,2684.0,https://www.zillow.com/homedetails/El-Camino-Loop-Staten-Island-NY-10309/2100274329_zpid/,40.5373175,-74.2137797
"638 E 23rd St,Brooklyn,NY,11210",900.0,1,1.0,2684.0,https://www.zillow.com/homedetails/638-E-23rd-St-Brooklyn-NY-11210/30670080_zpid/,40.6346806,-73.9553842
"16504 Highland Ave,Jamaica,NY,11432",900.0,1,1.0,600.0,https://www.zillow.com/homedetails/16504-Highland-Ave-Jamaica-NY-11432/2085030895_zpid/,40.710705,-73.7985693
"78th St,Brooklyn,NY,11214",900.0,1,1.0,600.0,https://www.zillow.com/homedetails/78th-St-Brooklyn-NY-11214/2086122778_zpid/,40.6111259,-73.9968686
"82 Shale St # 1,Staten Island,NY,10314",900.0,1,1.0,600.0,https://www.zillow.com/homedetails/82-Shale-St-1-Staten-Island-NY-10314/2085339011_zpid/,40.583429,-74.151712
"1550 Arden Ave # STUDIO,Staten Island,NY,10312",1100.0,1,1.0,550.0,https://www.zillow.com/homedetails/1550-Arden-Ave-STUDIO-Staten-Island-NY-10312/2085033278_zpid/,40.53362449999999,-74.16445689999999
"185th St,Fresh Meadows,NY,11366",1100.0,1,1.0,600.0,https://www.zillow.com/homedetails/185th-St-Fresh-Meadows-NY-11366/2089564851_zpid/,40.7323159,-73.785662
"Throggs Neck Expy,BRONX,NY,10465",1100.0,1,1.0,600.0,https://www.zillow.com/homedetails/Throggs-Neck-Expy-Bronx-NY-10465/2085722373_zpid/,40.8258705,-73.81608709999999
"Throggs Neck Expy,Bronx,NY,10465",1100.0,1,1.0,2324.0,https://www.zillow.com/homedetails/Throggs-Neck-Expy-Bronx-NY-10465/2085100094_zpid/,40.8258705,-73.81608709999999
"500 Sheldon Ave,Staten Island,NY,10312",1100.0,1,1.0,2324.0,https://www.zillow.com/homedetails/500-Sheldon-Ave-Staten-Island-NY-10312/2085054411_zpid/,40.5422758,-74.1915865
"24 Samantha Ln,Staten Island,NY,10309",1100.0,1,1.0,2700.0,https://www.zillow.com/homedetails/24-Samantha-Ln-Staten-Island-NY-10309/64909842_zpid/,40.554023,-74.21185659999999
