title,address,city,state,postal_code,price,facts and features,real estate provider,url
Townhouse for rent,439 Putnam Ave # 2,Brooklyn,NY,11221,"$2,900/mo","2 bds , 2 ba , 800 sqft",,https://www.zillow.com/homedetails/439-Putnam-Ave-2-Brooklyn-NY-11221/2085302733_zpid/
Apartment for rent,728A Rogers Ave APT 4A,Brooklyn,NY,11226,"$1,900/mo","1 bd , 1 ba , -- sqft",,https://www.zillow.com/homedetails/728A-Rogers-Ave-APT-4A-Brooklyn-NY-11226/2085302773_zpid/
House for rent,Fairview Ave,Ridgewood,NY,11385,"$1,800/mo","1 bd , 1 ba , -- sqft",,https://www.zillow.com/homedetails/Fairview-Ave-Ridgewood-NY-11385/2085302779_zpid/
Apartment for rent,94 Lewis Ave # E2L,Brooklyn,NY,11206,"$2,699/mo","3 bds , 1.5 ba , -- sqft",,https://www.zillow.com/homedetails/94-Lewis-Ave-E2L-Brooklyn-NY-11206/2085302800_zpid/
Townhouse for rent,Bay Ridge Pkwy,Brooklyn,NY,11228,"$1,700/mo","1 bd , 1 ba , 800 sqft",,https://www.zillow.com/homedetails/Bay-Ridge-Pkwy-Brooklyn-NY-11228/2085302804_zpid/
Apartment for rent,Avenue X,Brooklyn,NY,11223,"$2,175/mo","2 bds , 1.5 ba , 930 sqft",,https://www.zillow.com/homedetails/Avenue-X-Brooklyn-NY-11223/2085302836_zpid/
Apartment for rent,Bronx Park E,Bronx,NY,10462,"$1,575/mo","1 bd , 1 ba , -- sqft",,https://www.zillow.com/homedetails/Bronx-Park-E-Bronx-NY-10462/2085302834_zpid/
Apartment for rent,Avenue P,Brooklyn,NY,11223,"$1,850/mo","2 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/Avenue-P-Brooklyn-NY-11223/2085302837_zpid/
For Rent,,,,,,"2 $2,350+",,"https://www.zillow.com/b/240-Crown-St-Brooklyn-NY/40.6661,-73.952741_ll/"
Apartment for rent,3064 Brighton 14th St # 3FF,Brooklyn,NY,11235,"$2,300/mo","2 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/3064-Brighton-14th-St-3FF-Brooklyn-NY-11235/2085302874_zpid/
Apartment for rent,2382 Dean St # 6AA,Brooklyn,NY,11233,"$2,150/mo","3 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/2382-Dean-St-6AA-Brooklyn-NY-11233/2085302871_zpid/
Apartment for rent,223 Weirfield St # AA3,Brooklyn,NY,11221,"$2,395/mo","2 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/223-Weirfield-St-AA3-Brooklyn-NY-11221/2085302872_zpid/
Apartment for rent,Coyle St,Brooklyn,NY,11235,"$1,650/mo","1 bd , 1 ba , 745 sqft",,https://www.zillow.com/homedetails/Coyle-St-Brooklyn-NY-11235/2106612721_zpid/
Apartment for rent,Linden St,Ridgewood,NY,11385,"$3,800/mo","3 bds , 1.5 ba , -- sqft",,https://www.zillow.com/homedetails/Linden-St-Ridgewood-NY-11385/2099873987_zpid/
For Rent,,,,,,"1 $5,975 2 $6,900",,"https://www.zillow.com/b/243-W-60th-St-New-York-NY/40.772117,-73.989117_ll/"
For Rent,,,,,,"2 $2,250 3 $2,350",,"https://www.zillow.com/b/147-38th-Ave-Flushing-NY/40.7676,-73.8275_ll/"
Apartment for rent,505 W 57th St # 3A1,New York,NY,10019,"$3,000/mo","2 bds , 1 ba , 1,100 sqft",,https://www.zillow.com/homedetails/505-W-57th-St-3A1-New-York-NY-10019/2085302875_zpid/
Apartment for rent,Maple Ave,Flushing,NY,11355,"$1,595/mo","Studio , 1 ba , -- sqft",,https://www.zillow.com/homedetails/Maple-Ave-Flushing-NY-11355/2085302883_zpid/
For Rent,,,,,,"1 $2,108 2 $2,196+ 3 $2,576+",,"https://www.zillow.com/b/1772-Bergen-St-Brooklyn-NY/40.674376,-73.923383_ll/"
For Rent,,,,,,"1 $2,250+ 2 $2,500+",,"https://www.zillow.com/b/205-Spencer-St-Brooklyn-NY/40.692003,-73.954393_ll/"
Townhouse for rent,358 Prospect Pl # 2,Brooklyn,NY,11238,"$2,675/mo","2 bds , 1.5 ba , -- sqft",,https://www.zillow.com/homedetails/358-Prospect-Pl-2-Brooklyn-NY-11238/2108090919_zpid/
Apartment for rent,1822 Nostrand Ave # A3L,Brooklyn,NY,11226,"$1,900/mo","2 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/1822-Nostrand-Ave-A3L-Brooklyn-NY-11226/2085302992_zpid/
Apartment for rent,181 Scholes St # 9AA,Brooklyn,NY,11206,"$4,499/mo","3 bds , 2 ba , -- sqft",,https://www.zillow.com/homedetails/181-Scholes-St-9AA-Brooklyn-NY-11206/2085302997_zpid/
For Rent,,,,,,"1 $1,549+",,https://www.zillow.com/b/178-bay-23rd-st-brooklyn-ny-5gqnHp/
Apartment for rent,1095 Lorimer St APT 2F,Brooklyn,NY,11222,"$2,750/mo","2 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/1095-Lorimer-St-APT-2F-Brooklyn-NY-11222/2085302991_zpid/
Apartment for rent,119 Jewel St APT 1R,Brooklyn,NY,11222,"$2,500/mo","2 bds , 1 ba , 950 sqft",,https://www.zillow.com/homedetails/119-Jewel-St-APT-1R-Brooklyn-NY-11222/2102447818_zpid/
Apartment for rent,W 13th St,Brooklyn,NY,11223,"$1,800/mo","2 bds , 1 ba , 800 sqft",,https://www.zillow.com/homedetails/W-13th-St-Brooklyn-NY-11223/2085303009_zpid/
Apartment for rent,85th Rd,Woodhaven,NY,11421,"$1,800/mo","2 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/85th-Rd-Woodhaven-NY-11421/2085303374_zpid/
Apartment for rent,Bay Pkwy,Brooklyn,NY,11214,"$1,700/mo","2 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/Bay-Pkwy-Brooklyn-NY-11214/2085303403_zpid/
Apartment for rent,171-173 Court St # 3R,Brooklyn,NY,11201,"$3,395/mo","2 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/171-173-Court-St-3R-Brooklyn-NY-11201/2085303413_zpid/
For Rent,,,,,,"3 $2,750+",,"https://www.zillow.com/b/221-Clarkson-Ave-Brooklyn-NY/40.655509,-73.952388_ll/"
For Rent,,,,,,"0 $1,833+",,"https://www.zillow.com/b/2166-Frederick-Douglass-Blvd-New-York-NY/40.80484,-73.954853_ll/"
For Rent,,,,,,"0 $1,925 1 $2,100",,"https://www.zillow.com/b/272-W-115th-Manhattan-NY/40.803235,-73.955246_ll/"
Apartment for rent,2166 31st St # 1,Astoria,NY,11105,"$2,650/mo","2 bds , 1 ba , 950 sqft",,https://www.zillow.com/homedetails/2166-31st-St-1-Astoria-NY-11105/2091311845_zpid/
Apartment for rent,694 Metropolitan Ave APT 307,Brooklyn,NY,11211,"$2,900/mo","2 bds , 1 ba , 850 sqft",,https://www.zillow.com/homedetails/694-Metropolitan-Ave-APT-307-Brooklyn-NY-11211/2089512284_zpid/
Apartment for rent,508 W 112th St APT 5B1,New York,NY,10025,"$1,875/mo","Studio , 1 ba , -- sqft",,https://www.zillow.com/homedetails/508-W-112th-St-APT-5B1-New-York-NY-10025/2101472045_zpid/
For Rent,,,,,,"0 $2,925 2 $2,925",,"https://www.zillow.com/b/669-Macdonough-St-Brooklyn-NY/40.684037,-73.91937_ll/"
Apartment for rent,781 Knickerbocker Ave # 207,Brooklyn,NY,11207,"$3,000/mo","2 bds , 2 ba , -- sqft",,https://www.zillow.com/homedetails/781-Knickerbocker-Ave-207-Brooklyn-NY-11207/2085303467_zpid/
Apartment for rent,6805 Myrtle Ave,Glendale,NY,11385,"$2,200/mo","2 bds , 2 ba , 4,445 sqft",,https://www.zillow.com/homedetails/6805-Myrtle-Ave-Glendale-NY-11385/32014686_zpid/
For Rent,,,,,,"0 $1,995 1 $2,395",,"https://www.zillow.com/b/315-E-90th-St-New-York-NY/40.780137,-73.948905_ll/"
55 Spring Street,,,,,,"1 $3,100+",,https://www.zillow.com/b/55-spring-street-new-york-ny-7ghh/
Apartment for rent,1519 74th St # 1,Brooklyn,NY,11228,"$1,450/mo","1 bd , 1 ba , 2,650 sqft",,https://www.zillow.com/homedetails/1519-74th-St-1-Brooklyn-NY-11228/2115276996_zpid/
Apartment for rent,E 96th St,Brooklyn,NY,11212,"$2,400/mo","3 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/E-96th-St-Brooklyn-NY-11212/2085303739_zpid/
Apartment for rent,1604 Kennellworth Pl # 1,Bronx,NY,10465,"$1,800/mo","1 bd , 1 ba , -- sqft",,https://www.zillow.com/homedetails/1604-Kennellworth-Pl-1-Bronx-NY-10465/2085303872_zpid/
Apartment for rent,1956 74th St,Brooklyn,NY,11204,"$2,300/mo","4 bds , 1 ba , 2,149 sqft",,https://www.zillow.com/homedetails/1956-74th-St-Brooklyn-NY-11204/30705727_zpid/
For Rent,,,,,,"3 $4,700+",,"https://www.zillow.com/b/301-E-49th-St-New-York-NY/40.754281,-73.968556_ll/"
Townhouse for rent,259 W 121st St APT 1B,New York,NY,10027,"$1,599/mo","Studio , 1 ba , -- sqft",,https://www.zillow.com/homedetails/259-W-121st-St-APT-1B-New-York-NY-10027/2098531977_zpid/
Apartment for rent,922 79th St FL 1ST,Brooklyn,NY,11228,"$2,495/mo","3 bds , 1 ba , 1,200 sqft",,https://www.zillow.com/homedetails/922-79th-St-FL-1ST-Brooklyn-NY-11228/2085303952_zpid/
Apartment for rent,79th St,Brooklyn,NY,11228,"$2,495/mo","3 bds , 1 ba , 1,200 sqft",,https://www.zillow.com/homedetails/79th-St-Brooklyn-NY-11228/2085303982_zpid/
Apartment for rent,79th St,Brooklyn,NY,11228,"$2,495/mo","3 bds , 1 ba , 1,200 sqft",,https://www.zillow.com/homedetails/79th-St-Brooklyn-NY-11228/2085303968_zpid/
Apartment for rent,79th St,Brooklyn,NY,11228,"$2,495/mo","3 bds , 1 ba , 1,200 sqft",,https://www.zillow.com/homedetails/79th-St-Brooklyn-NY-11228/2085303964_zpid/
Apartment for rent,87th Rd,Jamaica,NY,11435,"$2,000/mo","2 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/87th-Rd-Jamaica-NY-11435/2085303966_zpid/
Apartment for rent,79th St,Brooklyn,NY,11228,"$2,495/mo","3 bds , 1 ba , 1,200 sqft",,https://www.zillow.com/homedetails/79th-St-Brooklyn-NY-11228/2085304045_zpid/
For Rent,,,,,,"0 $6,300 3 $2,400+",,"https://www.zillow.com/b/946-57th-St-Brooklyn-NY/40.634994,-74.004608_ll/"
